"feature_id","name","type"
"9858","KIAA0649","alias"
"9858","NRBE3","alias"
"9857","CAP350","alias"
"9857","GM133","alias"
"9856","DYLX2","alias"
"9856","DYX2","alias"
"9856","NMIG","alias"
"9855","FIR","alias"
"9855","FRG","alias"
"9855","PLEKHC3","alias"
"9854","DLNB23","alias"
"9854","TMEM24","alias"
"9853","Iporin","alias"
"9851","MNR","alias"
"9851","OFD15","alias"
"9851","OFIP","alias"
"9849","ZNF518","alias"
"9848","NYD-sp9","alias"
"9847","CDP138","alias"
"9847","KIAA0528","alias"
"9844","CED-12","alias"
"9844","CED12","alias"
"9844","ELMO-1","alias"
"9843","CPL","alias"
"9842","AP162","alias"
"9842","B2","alias"
"9842","OPTB6","alias"
"9841","BIF1","alias"
"9841","ICF2","alias"
"9841","PATZ2","alias"
"9841","ZNF450","alias"
"9840","HSPC257","alias"
"9840","KIAA0748","alias"
"984","CDC2L1","alias"
"984","CDK11","alias"
"984","CDK11-p110","alias"
"984","CDK11-p46","alias"
"984","CDK11-p58","alias"
"984","CLK-1","alias"
"984","PITSLREA","alias"
"984","PK58","alias"
"984","p58","alias"
"984","p58CDC2L1","alias"
"984","p58CLK-1","alias"
"9839","HSPC082","alias"
"9839","SIP-1","alias"
"9839","SIP1","alias"
"9839","SMADIP1","alias"
"9839","ZFHX1B","alias"
"9837","PSF1","alias"
"9836","PPM2","alias"
"9836","TYW4","alias"
"9834","C14orf110","alias"
"9834","HSPC053","alias"
"9834","FAM30A","alias"
"9833","HPK38","alias"
"9832","JAMIP2","alias"
"9832","NECC1","alias"
"983","CDC2","alias"
"983","CDC28A","alias"
"983","P34CDC2","alias"
"9829","DJC6","alias"
"9829","PARK19","alias"
"9828","P164RHOGEF","alias"
"9828","RHOGEF17","alias"
"9828","TEM4","alias"
"9828","p164-RhoGEF","alias"
"9827","KIAA0258","alias"
"9826","GTRAP48","alias"
"9826","PDZ-RHOGEF","alias"
"9825","PD1","alias"
"9825","PPP1R145","alias"
"9825","tamo","alias"
"9824","GAP (1-12)","alias"
"9823","ALEX2","alias"
"9823","GASP9","alias"
"9821","ATG17","alias"
"9821","CC1","alias"
"9821","FIP200","alias"
"9821","PPP1R131","alias"
"9820","3M1","alias"
"9820","CUL-7","alias"
"9820","KIAA0076","alias"
"9820","dJ20C7.5","alias"
"9819","TILZ4a","alias"
"9819","TILZ4b","alias"
