"feature_id","name","type"
"193740","Hsp70-3","alias"
"193740","Hsp70.3","alias"
"193740","Hsp72","alias"
"193740","hsp68","alias"
"193740","hsp70A1","alias"
"75697","3300001A09Rik","alias"
"75697","Fam148b","alias"
"258715","MOR105-3","alias"
"258715","Olfr421","alias"
"258715","Olfr422-ps1","alias"
"666002","EG666002","alias"
"666002","V2Rp3","alias"
"666744","EG666744","alias"
"623898","EG623898","alias"
"21924","AI874626","alias"
"21924","TnC","alias"
"21924","cTnC","alias"
"21924","cTnI","alias"
"21924","tncc","alias"
"624765","EG624765","alias"
"622640","EG622640","alias"
"81015","V1rd3","alias"
"81015","V3R3","alias"
"258659","MOR241-1","alias"
"233005","EG233005","alias"
"635396","Gm7157","alias"
"627537","EG627537","alias"
"436059","Ces2","alias"
"436059","EG436059","alias"
"436059","Gm5744","alias"
"66272","1810020G14Rik","alias"
"66272","1810055I05Rik","alias"
"66272","BB388670","alias"
"627636","EG627636","alias"
"627636","Vmn103","alias"
"436090","4933402E03Rik","alias"
"380918","Gm912","alias"
"108168186","LOC108168186","alias"
"328563","A330102K04Rik","alias"
"627743","EG627743","alias"
"252904","V1re9","alias"
"626942","EG626942","alias"
"224576","EG224576","alias"
"100042653","100042724","alias"
"100042653","Gm3991","alias"
"626615","EG626615","alias"
"236451","EG236451","alias"
"236451","Gm4902","alias"
"271944","Gm659","alias"
"66373","2010208O10Rik","alias"
"66373","2310034K10Rik","alias"
"435864","EG435864","alias"
"670558","4632413I24Rik","alias"
"670558","Gm9491","alias"
"258051","MOR256-39P","alias"
"101056115","LOC101056115","alias"
"208285","EG208285","alias"
"258218","MOR250-4","alias"
"664805","Corl2","alias"
"664805","EG664805","alias"
"664805","Fussel18","alias"
"664805","Gm7348","alias"
"622117","EG622117","alias"
"622117","Tu4","alias"
"108168155","LOC108168155","alias"
"624845","EG624845","alias"
"384219","EG384219","alias"
"625029","EG625029","alias"
"211223","EG211223","alias"
"665033","Col29a1","alias"
"665033","EG665033","alias"
"665033","Gm7455","alias"
"58521","2610002K20Rik","alias"
"58521","Cri1","alias"
"58521","EID-1","alias"
"58521","ORF12","alias"
"58521","PNAS-22","alias"
"58521","PTD014","alias"
"100312987","Gm17252","alias"
"100312987","Pate","alias"
"100312949","Pate-n","alias"
"100312949","Pate10","alias"
"638102","EG638102","alias"
"638102","V2Rp4","alias"
"231591","EG231591","alias"
"620235","Cd33l3","alias"
"620235","EG620235","alias"
"620235","SIGLEC-I","alias"
"622935","1190004K03Rik","alias"
"622935","EG622935","alias"
"622935","Gm6371","alias"
"70571","5730476P14Rik","alias"
"637873","Casr-rs2","alias"
"637873","EG637873","alias"
"637873","Gprc2a-rs2","alias"
"434215","AI426318","alias"
"434215","D11S833Eh","alias"
"434215","D7H11S833E","alias"
"434215","EG434215","alias"
"434215","Garp","alias"
"259001","MOR184-4","alias"
"72123","2010109K11Rik","alias"
"72123","AV375874","alias"
"240328","Ifgga4","alias"
"241989","C330050A14Rik","alias"
"241989","EG241989","alias"
"102577428","Esp6-esp5","alias"
"102577428","Esp6Esp5","alias"
"258325","MOR249-2","alias"
"18422","AV272316","alias"
"15511","Hsp70","alias"
"15511","Hsp70-1","alias"
"15511","Hsp70.1","alias"
"15511","hsp68","alias"
"68052","2700063M04Rik","alias"
"17904","ESMLC","alias"
"17904","LC17","alias"
"17904","LC17-GI","alias"
"17904","MLC-3","alias"
"17904","MLC1SM","alias"
"17904","Myln","alias"
"257882","4930415J05Rik","alias"
"257882","MOR124-1","alias"
"670940","EG620835","alias"
"546980","EG546980","alias"
"57294","3200001M24Rik","alias"
"622032","EG622032","alias"
"622032","Gm6279","alias"
"545913","EG545913","alias"
"381823","Gm1075","alias"
"668210","EG668210","alias"
"72958","2900054J07Rik","alias"
"72958","Rslcan12","alias"
"218304","Gm274","alias"
"637898","Casr-rs3","alias"
"637898","EG637898","alias"
"637898","Gprc2a-rs3","alias"
"672682","Muc21","alias"
"667069","EG620718","alias"
"667069","EG667069","alias"
"627814","EG627814","alias"
"623503","EG623503","alias"
"631990","100039759","alias"
"631990","Cdr","alias"
"631990","Cdr34","alias"
"631990","EG631990","alias"
"631990","Gm2409","alias"
"631990","Gm7077","alias"
"71683","0610037F22Rik","alias"
"71683","Cd236r","alias"
"239933","EG239933","alias"
"433102","EG433102","alias"
"102639037","LOC102639037","alias"
"71979","2410012M07Rik","alias"
"116849","IL-22b","alias"
"116849","IL-TIFb","alias"
"116849","Il22b","alias"
"546981","EG546981","alias"
"404291","V1rd22","alias"
"621430","EG621430","alias"
"66561","2310042E22Rik","alias"
"171192","V1rc19","alias"
"403185","A230061C02Rik","alias"
"403185","Gm1106","alias"
"100322896","Gm17384","alias"
"22313","V2r7","alias"
"665615","EG665615","alias"
"211151","1700030P15Rik","alias"
"211151","My015","alias"
"211151","chch","alias"
"18546","P16Rimb19","alias"
"18546","Pcp-4","alias"
"18546","Pep19","alias"
"407243","AI840826","alias"
"407243","Kua","alias"
"394434","UDPGT","alias"
"394434","UDPGT 1-9","alias"
"394434","UGT1-09","alias"
"394434","UGT1.9","alias"
"394434","UGTP4","alias"
"394434","Ugt1a12","alias"
"394434","mUGTBr/P","alias"
